"광주광역시","문구용품 및 회화용품 소매업",43,129,17602,16425,12204,1102,1195,1924,980
"광주광역시","의약품 및 의료용품 소매업",134,408,126434,115508,95831,8555,2811,8311,8044
"광주광역시","안경 및 렌즈 소매업",141,311,33626,31184,17181,4361,4370,5272,3896
"광주광역시","한식 음식점업",904,2900,223436,214311,116947,37251,16959,43154,34710
"광주광역시","외국식 음식점업",228,1033,87273,81475,44449,15859,6797,14370,15403
"광주광역시","제과점업",189,789,77976,73840,50953,7512,6117,9259,7415
"광주광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",434,1736,122116,113159,63493,16307,7897,25463,15179
"광주광역시","치킨전문점",787,1891,167575,148657,95910,11690,5699,35358,11070
"광주광역시","김밥, 기타 간이음식점 및 포장 판매점",487,1417,91222,79531,43874,12174,5432,18051,11068
"광주광역시","생맥주 및 기타 주점업",394,857,53345,48264,26157,7002,4314,10791,6148
"광주광역시","커피 및 기타 비알코올 음료점업",706,2841,128277,114556,45623,26192,16334,26407,24816
"광주광역시","자동차 전문 수리업",173,716,86639,80149,45287,19143,2311,13408,17965
"광주광역시","두발 미용업",164,529,24596,21903,5352,6988,2927,6637,6588
"광주광역시","가정용 세탁업",137,200,11436,9100,1232,883,1277,5709,843
"광주광역시","기타 프랜차이즈",922,2885,344401,322448,197651,39299,25791,59707,36206
"대전광역시","합계",6940,23644,2017384,1908738,1182295,264254,110811,351378,239760
"대전광역시","체인화 편의점",1266,5088,595144,599037,421402,53430,14140,110065,46673
"대전광역시","문구용품 및 회화용품 소매업",29,85,14115,12859,9688,1050,641,1479,834
"대전광역시","의약품 및 의료용품 소매업",101,335,97044,88732,73547,6850,2904,5430,6410
"대전광역시","안경 및 렌즈 소매업",110,296,34308,30798,17037,5000,3380,5381,4768
"대전광역시","한식 음식점업",1051,3392,213996,202856,108181,39358,16068,39248,36948
"대전광역시","외국식 음식점업",223,1007,73543,69722,33472,15286,5285,15679,14936
"대전광역시","제과점업",253,1115,79577,75369,48652,10350,6643,9724,9851
"대전광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",486,2112,146254,134046,70319,24841,9050,29835,22267
"대전광역시","치킨전문점",842,2061,150313,132567,87031,12319,7732,25484,10795
"대전광역시","김밥, 기타 간이음식점 및 포장 판매점",493,1410,90706,80320,43789,13185,7072,16274,12567
"대전광역시","생맥주 및 기타 주점업",336,861,50130,44636,21572,7506,4777,10781,7095
"대전광역시","커피 및 기타 비알코올 음료점업",552,2103,99630,88424,34650,20799,11574,21401,17657
"대전광역시","자동차 전문 수리업",173,565,68600,60102,32458,14407,1378,11859,13328
"대전광역시","두발 미용업",136,473,21787,22376,7623,5894,2822,6038,4951
"대전광역시","가정용 세탁업",99,163,10203,9519,1979,929,984,5627,836
"대전광역시","기타 프랜차이즈",790,2578,272034,257376,170893,33050,16360,37074,29844
"울산광역시","합계",5538,16750,1551334,1446968,885918,189230,86870,284950,171239
"울산광역시","체인화 편의점",983,3711,458393,457808,332457,37027,8394,79930,31445
